name_tested,greenhouse,lever,smartrecruiters,active_api
100thieves,none,none,none,none
1010data,none,none,none,none
10by10,none,none,none,none
10xgenomics,active,none,none,greenhouse
123formbuilder,none,none,none,none
140proof,none,none,none,none
1528webster,none,none,none,none
15five,none,active,none,lever
160over90,none,none,none,none
180bytwo,none,none,none,none
180engineering,none,none,none,none
1a-productventures,none,none,none,none
1aconfirmation,none,none,none,none
1build,none,none,none,none
1callstaffing,none,none,none,none
1drop,none,none,none,none
1huddle,none,none,active,smartrecruiters
1password,none,active,none,lever
1stdibs,none,none,none,none
1uphealth,active,none,none,greenhouse
21tech,none,none,none,none
22ndcenturytechnologies,none,none,none,none
22squared,none,none,none,none
23andme,active,none,none,greenhouse
24hourfitness,none,none,active,smartrecruiters
24seventalent,none,none,none,none
2600hz,none,none,none,none
280group,none,none,none,none
28stone,none,none,none,none
2go,none,none,none,none
2k,active,none,none,greenhouse
2ndwavellc,none,none,none,none
2seventybio,none,none,none,none
2u,active,none,none,greenhouse
365retailmarkets,none,none,none,none
3birdsmarketingllc,none,none,none,none
3degrees,none,none,none,none
3iinfotech,none,none,none,none
3m,none,none,none,none
3nmarketing,none,none,none,none
3playmedia,active,none,none,greenhouse
3qdigital,none,none,none,none
3rdivisuals,none,none,none,none
3scale,none,none,none,none
407etr,none,none,none,none
4degrees,none,none,none,none
4degreesrealestate,none,none,none,none
500co,none,none,none,none
5amventures,none,active,none,lever
5ca,active,none,none,greenhouse
6riversystems,none,none,none,none
6sense,active,none,none,greenhouse
7-eleven,none,none,none,none
7-sigma,none,none,none,none
7geese,none,none,none,none
7shifts,active,none,none,greenhouse
80twenty,none,none,none,none
8kmilessoftwareservicesltd,none,none,none,none
8tracks,none,none,none,none
8x8,none,none,none,none
99designs,none,none,none,none
99group,none,none,active,smartrecruiters
99minutos,none,none,none,none
a-1technology,none,none,none,none
a-connect,none,none,none,none
a&areadymixedconcrete,none,none,none,none
a16z,active,none,none,greenhouse
a24,active,none,none,greenhouse
a2zroomz,none,none,none,none
aaa,none,none,none,none
aaa-theautoclubgroup,none,none,none,none
aaacluballiance,none,none,none,none
aacinc,none,none,none,none
aapc,none,none,none,none
aarcorporation,none,none,none,none
aarp,none,none,none,none
abacusinsights,active,none,none,greenhouse
abacussolutions,none,none,none,none
abacustechnicalservices,none,none,none,none
abacustechnologies,none,none,none,none
abalone,none,none,none,none
abarcahealth,none,none,none,none
abaxis,none,none,none,none
abb,none,none,none,none
abbott,none,none,none,none
abbottindialimited,none,none,none,none
abbottus,none,none,none,none
abbvieinc,none,none,none,none
abc,active,none,none,greenhouse
abclonaltechnology,none,none,none,none
abcwork,none,none,none,none
abercrombie&fitchco,none,none,none,none
able,active,none,none,greenhouse
ableto,active,none,active,greenhouse
ablschools,none,none,none,none
ably,none,none,none,none
abm,none,none,none,none
abodo,active,none,none,greenhouse
aboutflipboard,none,none,none,none
aboutgitlab,none,none,none,none
aboutliftopia,none,none,none,none
abovedata,none,none,none,none
absencesoft,none,none,none,none
absgloballtd,none,none,none,none
absolutesoftware,none,none,none,none
absolutinfosystemspvtltd,none,none,none,none
abstract,none,none,none,none
abstractcre,none,none,none,none
abtassociates,none,none,none,none
abtrexindustries,none,none,none,none
acaciacommunicationsinc,none,none,none,none
academiaedu,none,none,none,none
academicpartnerships,none,none,none,none
academictravelabroad,none,none,none,none
academy,active,none,none,greenhouse
academyofartuniversity,none,none,none,none
academyoutdoorandsports,none,none,none,none
acadiahealthcare,none,none,none,none
acams,none,none,none,none
acc,none,none,none,none
accel,none,none,none,none
accel-kkr,none,none,none,none
accela,active,none,none,greenhouse
accenture,none,none,none,none
accenturefederalservices,active,none,active,greenhouse
accentureinindia,none,none,none,none
accessstaffing,none,none,none,none
accesssystems,none,none,none,none
acclaim,none,none,none,none
acclimited,none,none,none,none
accobrands,none,none,none,none
accolade,none,none,none,none
accor,none,none,active,smartrecruiters
accountingprincipals,none,none,none,none
accountingtoday,none,none,none,none
accruent,none,none,none,none
accton,none,none,none,none
accttwo,none,none,none,none
accudata,none,none,none,none
acculynx,none,none,none,none
accupointllc,none,none,none,none
accuracy,none,none,none,none
accureference,none,none,none,none
accuro,none,none,none,none
accurogroup,none,none,none,none
ace,none,none,none,none
aceable,active,none,none,greenhouse
acecentroenterprises,none,none,none,none
aceinfosolutionsllc,none,none,none,none
aceparking,none,none,none,none
acer,none,none,none,none
acesexcellenceinenergy,none,none,none,none
aceup,none,none,none,none
acibrands,none,none,none,none
acklenavenue,active,none,none,greenhouse
aclaimant,none,none,none,none
aclima,none,none,none,none
acloudguru,none,none,none,none
aclu,active,none,none,greenhouse
acluofmissouri,none,none,none,none
acme,none,none,none,none
acmesupermarkets,none,none,none,none
acmn,none,none,none,none
acorns,none,none,none,none
acoustic,none,none,none,none
acquia,active,none,none,greenhouse
acquirehealth,none,none,none,none
acscorp,none,none,none,none
actblue,active,none,none,greenhouse
actiontechnology,none,none,none,none
activecampaign,none,active,none,lever
activenetwork,none,none,none,none
activeprospect,none,none,none,none
activision,none,none,none,none
actzeroai,none,none,none,none
acubed,none,none,none,none
acuity,none,none,none,none
acultivatedmindset,none,none,none,none
acumen,active,none,none,greenhouse
acunetix,none,none,none,none
acvauctions,none,none,none,none
acvenviro,none,none,none,none
acxiom,none,none,none,none
adams&martingroup,none,none,none,none
adamsonassociates,none,none,none,none
adani,none,none,none,none
adaptiva,none,none,none,none
adaptivebiotechnologies,active,none,none,greenhouse
adapture,none,none,none,none
adaptysolutions,none,none,none,none
adara,none,none,none,none
adasupport,none,none,none,none
adbcompanies,none,none,none,none
adbsafegate,none,none,none,none
adcolony,none,none,none,none
addastaffconsultingincorporated,none,none,none,none
addepar,none,none,none,none
addisongroup,none,none,none,none
addsearch,none,none,none,none
adecco,none,none,none,none
adeccogroup,none,none,none,none
adentro,none,none,none,none
adeva,none,none,none,none
adevintaformerlyschibsted,none,none,none,none
adform,none,none,none,none
adgear,none,none,none,none
adhawk,none,none,none,none
adidas,none,none,none,none
adidasruntastic,none,none,none,none
adient,none,none,none,none
aditiconsulting,none,none,none,none
aditiconsultingllc,none,none,none,none
adjoegmbh,none,none,none,none
adjust,none,none,none,none
adludio,none,none,active,smartrecruiters
adm,none,none,none,none
admarketplace,none,none,none,none
admiral,none,none,none,none
admitsee,none,none,none,none
adnocgroup,none,none,none,none
adobe,none,none,none,none
adp,none,none,none,none
adpractitioners,none,none,none,none
adquadrant,none,none,none,none
adracare,none,none,none,none
adrenaline,none,none,none,none
adroll,none,none,none,none
adstage,none,none,none,none
adswizz,none,none,none,none
adt,none,none,none,none
adtalemglobaleducation,none,none,active,smartrecruiters
adtran,none,none,none,none
aduro,none,none,none,none
adva,none,none,none,none
advancedclinical,none,none,none,none
advancedresources,none,none,none,none
advancedsolarproducts,none,none,none,none
advancesoftinc,none,none,none,none
advancialfederalcreditunion,none,none,none,none
advantagecommunicationsgroup,none,none,none,none
advantagecredit,none,none,none,none
advantageresourcing-technicalstaffing,none,none,none,none
advantagexpo,none,none,none,none
advantasure,none,none,none,none
advent,none,none,none,none
adventglobalsolutions,none,none,none,none
adventhealth,none,none,none,none
adventisthealth,none,none,none,none
adventsoftware,none,none,none,none
advisor360,none,none,none,none
adyen,active,none,none,greenhouse
aecom,none,none,none,none
aeg,none,none,none,none
aegioncoatingservices,none,none,none,none
aegioncorporation,none,none,none,none
aei,none,none,none,none
aenetworksemea,none,none,none,none
aeratechnology,none,active,active,lever
aerialspaces,none,none,none,none
aerojetrocketdyne,none,none,none,none
aeromexico,none,none,none,none
aerotek,none,none,none,none
aerq,none,none,none,none
aesinternational,none,none,none,none
aetion,active,none,none,greenhouse
aetna,none,none,none,none
aeva,none,active,none,lever
aeye,none,none,none,none
affectiva,none,none,none,none
affiliatedcomputerservices,none,none,none,none
affiliatedengineers,none,none,none,none
affinitiv,active,none,none,greenhouse
affinity,active,none,none,greenhouse
affirm,active,none,none,greenhouse
affirmednetworks,none,none,none,none
aflacincorporated,none,none,none,none
afreshtechnologies,none,none,none,none
afriexapp,none,none,none,none
aftercollege,none,none,none,none
afterpay,none,none,none,none
aftonchemicals,none,none,none,none
agamasolutions,none,none,none,none
agcocorporation,none,none,none,none
agelessrx,none,none,none,none
agencyanalytics,none,none,none,none
agentsync,none,none,none,none
agenus,none,none,none,none
ageoflearning,none,none,none,none
agero,active,none,none,greenhouse
agileenterprisesolutionsinc,none,none,active,smartrecruiters
agilenttechnologies,none,none,none,none
agileone,none,none,none,none
agilesoftware,none,none,none,none
agilethought,none,none,none,none
agilone,none,none,none,none
agilysys,none,none,none,none
agio,active,none,none,greenhouse
agm,none,none,none,none
agnoris,none,none,none,none
agodacom,none,none,none,none
agronico,none,none,none,none
aguardion,none,none,none,none
agwayinc,none,none,none,none
aha!,none,none,none,none
ahead,none,none,none,none
ahlstrommunksjo,none,none,none,none
aholddelhaize,none,none,none,none
ahrcsuffolk,none,none,none,none
ahs,none,none,none,none
ai-knowlabs,none,none,none,none
aib,none,none,none,none
aic,none,none,none,none
aicamp,none,active,none,lever
aidocmedical,none,none,none,none
aifund,none,none,none,none
aig,none,none,none,none
ailgroup,none,none,none,none
ailleron,none,none,none,none
aimcoapartmenthomes,none,none,none,none
aimpointdigital,none,none,none,none
air-quest,none,none,none,none
airbase,none,none,none,none
airbnb,active,none,none,greenhouse
airboard,none,none,none,none
airborne,none,none,none,none
airbus,none,none,none,none
aircall,none,active,none,lever
aircallab,none,none,none,none
aircanada,none,none,none,none
aireducationtrainingcommand,none,none,none,none
aireonllc,none,none,none,none
airforcestem,none,none,none,none
airgas,none,none,none,none
airkit,none,none,none,none
airlabs,none,none,none,none
airlinesreportingcorporation,none,none,none,none
airliquide,none,none,none,none
airmethods,none,none,none,none
airproductsandchemicals,none,none,none,none
airrbnb,none,none,none,none
airsurety,none,none,none,none
airtable,active,none,none,greenhouse
airtasker,none,active,none,lever
airtek,none,none,none,none
airtel,none,none,none,none
airtelafrica,none,none,none,none
airwallex,none,none,none,none
airware,none,none,none,none
airwave,active,none,none,greenhouse
aisommelier,none,none,none,none
aitglobalinc,none,none,none,none
aiyogroup,none,none,none,none
aiztechcanadainc,none,none,none,none
ajilon,none,none,none,none
ajilonprofessionalstaffing,none,none,none,none
akamaitechnologies,none,none,none,none
akebonobrakecorporation,none,none,none,none
akeenasolar,none,none,none,none
akeliusresidentialpropertyab,none,none,none,none
akernacorp,none,none,none,none
akimasupportoperations,none,none,none,none
akqa,active,none,none,greenhouse
akshaya-inc,none,none,none,none
aksteelholdingcorporation,none,none,none,none
aktana,none,none,none,none
akunacapital,active,none,none,greenhouse
akzonobel,none,none,none,none
alaantworkforcesolutions,none,none,none,none
alaka`inafoundationfamilyofcompanies,none,none,none,none
alamocollegesdistrict,none,none,none,none
alaralogistics,none,none,none,none
alariccorp,none,none,none,none
alarmcom,active,none,none,greenhouse
alaska,none,none,none,none
alaskaairgroup,none,none,none,none
alaskaairlines,none,none,none,none
alation,none,none,none,none
albelli,none,none,none,none
albert,none,none,none,none
albertsons,none,none,none,none
albertsonsinc,none,none,none,none
alchemy,active,none,none,greenhouse
alcoa,none,none,none,none
alcoainc,none,none,none,none
alcovamortgage,none,none,none,none
aldiusa,none,none,none,none
aldogroup,none,none,none,none
alector,none,active,none,lever
alegeus,none,none,none,none
alembic,none,none,none,none
alertinnovation,none,none,none,none
alertlogic,none,none,none,none
alertmedia,active,none,none,greenhouse
alexacpagroup,none,none,none,none
alexandergroup,none,none,none,none
alexandermannsolutions,none,none,none,none
alexionpharmaceuticals,none,none,none,none
algolia,active,none,none,greenhouse
alianza,none,none,none,none
alibabagroup,none,none,none,none
alicetechnologiesinc,none,none,none,none
alicorp,none,none,none,none
alienvault,none,none,none,none
alieracompanies,none,none,none,none
alight,none,none,active,smartrecruiters
align,active,none,none,greenhouse
aligntechnology,none,none,none,none
alionscienceandtechnology,none,none,none,none
alixpartners,active,none,none,greenhouse
alkermes,none,none,none,none
alku,active,none,active,greenhouse
allbirds,active,none,none,greenhouse
allcargologisticsltd,none,none,none,none
alleghanycorporation,none,none,none,none
alleghenyenergy,none,none,none,none
alleghenytechnologiesincorporated,none,none,none,none
allegianceindustries,none,none,none,none
allegion,none,none,none,none
allegisglobalsolutions,none,none,active,smartrecruiters
allegisgroup,none,none,none,none
allegromicrosystems,none,none,none,none
allegropl,none,none,none,none
allergan,none,none,none,none
allete,none,none,none,none
allganize,none,none,none,none
